review_text,Sub - Category
everything else about the hotel was good and worth a visit.,Delight
amenities also great.,Delight
good stay food is very good location awesome facilities excellent,Delight
location is very nice.,Delight
"review - hotel stay excellent stay, nice resort, excellent service by team and staff. location is very good and it was an amazing stay",Delight
excellent stay it's good hotel and value for money.,Delight
location is a bit secluded but they provide a pick up and drop till benaulim beach which is 800m away from hotel.,Satisfaction
hotel is also provoding cab service for beach access.,Satisfaction
because the vibe and is so peaceful and the nearby beach is 1.8 km and the hotel also provides complimentary shuttle for beach,Satisfaction
excellent stay location and resort was excellent.,Delight
"the resort itself is beautiful, with great amenities and a lovely atmosphere that made us feel relaxed and welcomed. i still recommend the resort for its location, amenities, and overall experience, but i strongly urge future guests to be cautious when it comes to transportation and to consider other options instead of relying on the service suggested by the staff.",Satisfaction
if you get this property around 5k only then it's a good choice else it is an overpriced hotel charging for its brand name.,neutral
the property is so huge that one could easily spend a whole day in the hotel premises itself and not get bored of it.,Satisfaction
"good one have a pleasant stay, beautiful resort, near beach and and full of amenities.",Delight
we were looking for a calm and quiet place for our babymoon and fortune resorts proved to be it.,Satisfaction
hotel location is good.,Satisfaction
"good value for money good location, rooms with balcony & value for money",Delight
location resort is so amazing.,Delight
the rooms are spacious with garden and pool view options and a balcony.,Satisfaction
good the location of the resort is just perfect.,Delight
rooms are very clean and spacious.,Delight
location it's very very wonderful location and outside view.,Delight
great stay this resort offers all kinds of accommodation and the property is huge.,Delight
hotel has sacks on the beach which is good and hotel provides the shuttle service to the beach.,Satisfaction
place for foreigners.,neutral
best hotel in benaulim we had a very pleasant stay with really good amenities and near to beach facility.,Delight
"nice and calm hotel nice hotel with great view from balcony, food was great, peaceful location.",Delight
i recommend this hotel for all those who are coming here as a couple or full family.,Satisfaction
the location though about 10 min walk from the beach is quite peaceful yet very accessible on a broad road stretch just before taj hotels.,Delight
the resort has all facilities and great ambience.,Delight
beautiful property the resort is very pretty.,Satisfaction
nice experience hotel stay was good with fast service.,Satisfaction
"great stay great food, great room, excellent service.",Delight
"food was really good with great portions, and reasonable rates.",Delight
facilities were upto the mark and food options were good.,Delight
plenty of breakfast and dinner buffet options.,Satisfaction
food was good and tasty - only need is to get services up to the mark,neutral
"breakfast was really excellent, many options were available. food wise excellent but service wise i felt they were short of staff.",Delight
the dinner needs more variety of sea food and other nonveg dishes.,neutral
breakfast had lot of variety and food served was good.,Satisfaction
food including morning buffet was great.,Delight
breakfast buffet and eve snacks were good.,Satisfaction
"it was clean, room with excellent service.food was good and great value for money and service was attentive and efficient.",Delight
food was good n availability of many options.,Delight
food is not upto the mark and very few breakfast options are available.,Disappointment
food was also good and delicious.,Satisfaction
"however, the breakfast menu needs to be improved.",neutral
"relaxing stay food, room, amenities and service was really good.",Delight
food is also very nice with a lot of varieties.,Delight
restaurant is ok & service there is superb.,Delight
food is delicious and property location is good.,Delight
"amazing food, especially breakfast .",Delight
only thing i can think of improvement is just that south india food quality breakfast could be more tasteful.,neutral
the quality of food was awesome.,Delight
food is good however menu for lunch or dinner needs more variety.,neutral
food is great but the service was very slow.,neutral
"also, a big shoutout to sushma at the restaurant for her incredible hospitality and warm service, which made every meal even more delightful. additionally, the coffee at the breakfast buffet was below par, and i’d highly recommend the hotel to consider offering better quality coffee to enhance the overall dining experience.",Delight
food is also good. served the items as per our request which was not in the buffet menu.,Satisfaction
"food was excellent in taste

staff was having good behaviour",Delight
"the amenities, including a well-maintained pool and a delicious breakfast spread, added to the overall comfort.",Delight
"breakfast has lot of varieties. food quality and taste was good. dinner options were less. out of 4 days stay there, dinner buffet was arranged for two days only. they should increase more options for dinner.",neutral
chef mr faiyaj had provided the food of our taste and quality on our request.,Satisfaction
"the breakfast and dinner buffets were truly indulgent, with a vast spread of delicious options to suit every taste. the quality of food was top-notch, and we loved trying out the local goan specialties.",Delight
"excellent stay great location, awesome staff and tasty food. they also give discount coupons for meals.",Delight
"excellent stay fortune was a beautiful resort.multiple cuisine are gourmet delight.on top of that all resort employees were highly courteous,shown a great respect & hospitality. room were fresh & serving were great.",Delight
breakfast contain variety and nourishment.,Satisfaction
"well appointed and maintained rooms, great service, full buffet breakfast spread, a 5 min walk to secluded beach pristine beach, small but well maintained swimming pool.",Delight
average dining: food options lacked variety and didn't particularly impress.,neutral
"exce very pleasant experience very nice location and very nice food arrangement m
breakfast very good and very warm welcome",Delight
"food is good however, a bit disappointed with couple of items such as fish curry and prawns with oyster sauce.",Disappointment
"additionally, the food is only average, lacking any noteworthy features.",Disappointment
"the food was excellent, the chef ensured that our pallet needs were met.",Delight
the food was really nice and the breakfast & dinner buffet had a good variety of food.,Delight
excellent food and service in the restaurant.,Delight
excellent stay food was good and great value for money and service was attentive and efficient.,Delight
breakfast buffet was just too awesome,Delight
"appreciated...?????? i liked hotel and staff and food is awesome, totally i enjoyed the vacation with including dinner, lunch, prasutha who serve breakfast...??????????",Delight
breakfast was food.,Satisfaction
unhygienic food and place to be unhygienic food and place to be.,Disappointment
"buffet was not available in breakfast as there were less guests they allowed us to order from alacart, however i prefer buffet coz we get to eat small quantity of many things which is not an option if we order from alacart.",Disappointment
we had opted for food option of breakfast and one major meal. the food was tasty but i wished there were more options in the buffet especially for vegetarians.,neutral
amazing food quality.,Delight
and the food at the breakfast buffet wasn’t great,Delight
overall good experience the food was not upto the mark but overall stay was pleasant and the property is very well maintained.,neutral
good food and attention to details is just perfect.,Satisfaction
the food is fresh and hygienic with limited menu options.,Satisfaction
the restaurant food and service is below average.,Disappointment
food was good and overall a good experience.,Satisfaction
good breakfast with lots of variety,Satisfaction
excellent stay excellent ambience and food choices.,Delight
"mr khan ensured, we got the best services even when the restaurant was busy with breakfast operations.",Satisfaction
amazing stay at fortune benaulim the staff is very courteous and the food is amazing.,Delight
but food quality of buffet was not good,Disappointment
"amazing food, great swimming pool, nice location resort is amazing for family.",Delight
"location and food was good but services was not impressive, because cable tv not working since last 2 days and not maintained after multiple complaints.",Disappointment
"amazing stay best place for family, food and fun",Delight
cost of food very high in cost but does not live up to quality and taste.,Disappointment
the restaurant serves excellent food.,Delight
"be it their buffet breakfast, a la carte dinner or midnight french fries in room dining, quality was exceptional.",Delight
i liked the restaurant especially in the night.,Satisfaction
"excellent stay pros: everything is just awesome, rooms, food and what not.",Delight
"an example of a great hotel. it was clean, room with excellent service.food was good and great value for money and service was attentive and efficient.",Delight
"excellent stay the hotel offers a warm welcome with courteous reception, nice staff, and attentive housekeeping. overall, the stay felt comfortable, pleasant, and truly worth the money. would recommend this hotel to others",Delight
"review - hotel stay excellent stay, nice resort, excellent service by team and staff.",Delight
i stayed for 4 day and hotel was sold out for 2 days still i got best room service i have experience.,Satisfaction
overall very good and clean hotel,Delight
"excellent stay the location of the hotel is great, very cleanly maintained, the staff and service excellent. real value for money.",Delight
"the overall hospitality was excellent, making our experience truly enjoyable.",Satisfaction
good stay but can be excellent with minor improvements rooms : rooms are clean and hygine and equipped with all the amenties but there is some mosquitos.,Satisfaction
"excellent stay fortune was a beautiful resort.multiple cuisine are gourmet delight.on top of that all resort employees were highly courteous,shown a great respect & hospitality.",Delight
it was value for money,Delight
"poor stay the property doesn't justify its cost; for the same price, you can find superior resorts.",Frustation
"i had booked this property (cottage) for 1 night but liked the feel and vibes of this property, pleasant staff, quick service.",Delight
really good hotel but poor services we really had a great stay at fortune hotels.,Disappointment
excellent stay food was good and great value for money and service was attentive and efficient. as the hotel staff is always happy to help and give everything you ask for,Delight
"good service, nice hotel even though the hotel was empty, we had to pay 3500? extra for early checkin which is something i didn’t like at all.",neutral
"average for a 5 star very courteous staff who made the stay very comfortable, but the hotel has gotten old and doesn’t feel like a 5 star hotel.",neutral
i felt that the overall stay experience was not proportional to the price charged per day.,Disappointment
room is not worth the money paid they have given a room at the entrance of the hotel stating that this is a premium garden view room. this is a deluxe room and fooling us stating that this is a premium. pols dont book this hotel even its at a cheaper rate,Frustation
"over priced for a good stay let me begin with positives, the staff was very courteous and well accomodating. if you get this property around 5k only then it's a good choice else it is an overpriced hotel charging for its brand name.",neutral
average hotel as per the pricing hotel is average.,Satisfaction
value for money stay for couples i had a great experience staying at joecons.,Delight
it absolutely value for money place.,Delight
"average hotel, not value for the price we were 4 families and our experience with the hotel was quite average. overall, we did not find the hotel worth for the amount we paid.",neutral
but i wouldn't consider it as a value for money for indian tourists.,Disappointment
great service absolute value for money.,Delight
"excellent stay pros: everything is just awesome, rooms, food and what not. good swimming pool and overall ambience.",neutral
amenities and services were good.,Satisfaction
"good stay good food, swimming pool and nearby beach. rooms are bit old but otherwise service is good.",Satisfaction
an example of a great hotel. everything about the hotel was exceptional.,Delight
"excellent stay property location is very good ,walkable distance from beach ,lush green field,food had varieties ,aminities are clean and neat ,fantastic services",Delight
"lot of amenities including swimming pool, spa and gym",neutral
hotel is also provoding cab service for beach access. recreation room available.,Satisfaction
big spacious rooms good balcany,Satisfaction
recreation room and pool is fantastic. room service is excellent.,Delight
the rooms and swimming pool are very clean and well maintained.,Delight
the facilities are apt and we enjoyed our one day stay.,Satisfaction
"excellent stay excellent budget resort with the full benefits of itc hospitality. well appointed and maintained rooms, great service, full buffet breakfast spread, a 5 min walk to secluded beach pristine beach, small but well maintained swimming pool.",Delight
good amenities.,Satisfaction
"spacious rooms: comfortable and well-equipped, with generous bed sizes. limited on-site activities: resort life relies heavily on the beach experience.",Satisfaction
the chalets are very cozy and comfortable with all the amenities.,Delight
big rooms and clean. family had a good time hotel is placed in a good location,Satisfaction
pool was excellent but other amenities are average.,neutral
very good facility rooms and property is very good. specifically swimming pool is good.,Delight
decent amenities and good service.,Satisfaction
best part of the stay was free shuttle service for the beach.,Delight
rooms not gud.,Disappointment
car and bike ride station are very near to hotel.,Satisfaction
earlier it used to be jeacons beach resort which was very nice but now some new management has taken over leading to unnecessary high price and poor service.,Frustation
an affordable and comfortable stay in a quiet surroundings of benaulim fortune resort at benaulim is an affordable hotel with all five star amenities.,Satisfaction
room is not worth the money paid they have given a room at the entrance of the hotel stating that this is a premium garden view room. another options they gave were similar with the hotel entrance view.,Disappointment
"a special mention for a well maintained swimming pool, where our daughter spent most of her time.",Satisfaction
"the resort is very well managed, with friendly and cooperative staff.",Delight
"great service and easy access to beaches nearby resort is well maintained and staff is courteous. lots of beaches are nearby, even the shack at the beach is well maintained",Delight
"great stay this resort offers all kinds of accommodation and the property is huge. it's good a great gym, spa, 2 pools and a great bar and restaurant.",Delight
"ambiance of the hotel looks good, kids enjoyed the pool. hotel has sacks on the beach which is good and hotel provides the shuttle service to the beach.",Satisfaction
they also have pool bar where you can relax and have a leisure time.,Satisfaction
"the property is spread out with two pools, an activity center, spa, etc.",Satisfaction
"family stay excellent room, restaurants, swimming pool.",Delight
room are big but nothing in it. bathroom is very old style and no amenities which is very shocking being a 4-star resort. they should have some transportation for guests.,Frustation
"excellent stay great hotel with great facilities, ambience and staff. great place for family with kids.",Delight
"average stay food, amenities and staff is excellent but not maintained hygiene as per their claimed rating.",Disappointment
"i would highly recommend this hotel to anyone looking for comfort, great service, and a memorable stay.",Satisfaction
also properly maintained hotel with regards to cleanliness.,Satisfaction
excellent stay the property is very highly maintained.,Delight
"good location with poor maintenance property is poorly maintained, lot of crocks and bugs inside room.",Disappointment
this is a safe place for stay.,Satisfaction
i found this time in the hotel is maintenance is not very good.,Disappointment
"Excellent Stay Excellent
Very very nice service and pool is very very good
Room is also excellent",Delight
"excellent stay stay was quite good and comfortable 
staff was Cooperative and helpful 
would like to visit again and refer others as well",Delight
Good Stay Stay was good. Good property about 15 mins walk from Benaulim beach.,Satisfaction
"Excellent Stay Had a wonderful stay at this beautiful property in South Goa ?? The location is perfect (just 3–4 km from the beaches) and the vibe is peaceful, relaxing, and kid-friendly ???? Special thanks to Ms. Vandana & Ms. Leanne for their warm hospitality – they truly made our stay memorable ? The hotel also provides a vehicle to its private beach which was an amazing experience ???

A few things to improve: the room bar had only chargeable items (no complimentary ones kept), furniture felt a bit old, basics like a bath mat & slippers were missing, and the breakfast buffet was quite limited. Still, overall, it’s a highly recommended place for a calm and pleasant family holiday in South Goa ??",neutral
"Excellent Stay Had an amazing experience at fortune resort , all the staff members were very helpful and special mention about Manfret who really is super sweet and very helpful about guiding me with different food items and he is a very good human. So good to meet good people at your stay. I would keep coming back to your place if I ever have a chance to visit Goa again.",Delight
"Excellent Stay We stayed at this property for 5 nights. Our experience was wonderful, the property has all the necessary amenities and the service staff is excellent and very helpful. I especially want to thank Praful sir, Siraj and Vandana for their amazing hospitality towards us and and our toddler son. Highly recommended.",Delight
Excellent Stay Property food nice location also good and facilities are very goog,Delight
"excellent nice stay. very good service, stuffs are nice. very calm and beautiful place. location is in very peaceful place. overall its a very nice experience.",Delight
Excellent Stay My experience was amazing! A very nice property and very friendly staff.,Delight
"good review It was a good experience. I would like to visit again, it feels nice. Food was good. The service is also excellent",Delight
"Birthday in Goa the warm welcome when we reached was amazing, the property the stay the view from the balcony was so amazing. I celebrated my birthday this time in goa and it was so so amazing. I cant even express. Choosing my stay at ITC Fortune whenever I visit South Goa again. Thanks Fortune for the amazing stay and for everything",Delight
Excellent Stay Problem with the link,Satisfaction
Enjoyable Stay A good property at a good location with a good breakfast spread and in close vicinity to the Taj property.,Satisfaction
"Average Stay it's 3 star property , not 5 star very old property ,as per my observation as comparison with other 5 star of Goa of almost same price like raddison , sands 
it's almost 20 years old property with low maintenance and amenities, although staff is good and courteous, quality of food is also good, Spa is worst my wife paid 1770 for 10 minutes that's unprofessional staff",Disappointment
Good stay Comforting stay pool is amazing breakfast can be improved on variety,neutral
"Average Stay Benaulim Fortune resort is a beautiful property situated very near to Benaulim beach. Room size is good. Few shortfalls I observed:
1. Room fan regulator was not working.
2. Split ACs were not cooling (no centerlise ACs in resort).
3. F&B ground level team waiters consider guest as fool.. they suggested to try rice kheer in desert and you will not believe that they poured rice in to milk and served when I complained about that then he said he will not charge for this.
Such unprofessional attitude are not expected in a brand like #ITC Fortune",Frustation
Excellent Stay Good and excellent stay. It was a pleasure trip with family and frinds but we enjoyed a lot. Food was a little delayed but that's not a very big issue. At last a waiter took good care of our dinner.,Delight
"Amazing experience Amazing experience, great staff and amazing location near to all main tourist spots in south goa. Highly recommended",Delight
Average Stay Was misled by the title ITC hotel. Was expecting a different standard. Went blindly. Next time I will do a detailed study even if the resort says ITC,Frustation
"Average Stay The property is almost 1 km walk to the beach...it's for people who wish to live in a self contained property, eat and enjoy in the pool. Quite an impersonal approach by the staff. The breakfast spread was good...but was expecting more from ITC. Dinner was below average. The plantation in the property is really good...very well kept garden. Overall the property seems very old...the room linen had a Lil moisture smell...we kept the back balcony door open to make it better...overall an average experience...not a wow experience for sure!",neutral
"Decent Stay in South Goa It was a decent stay and in good locality.
The property is well-maintained, featuring a beautiful pool and lush surroundings.
Overall, it's a great option for both leisure and business travelers seeking a peaceful getaway in Goa.",Satisfaction
Excellent Stay 1,Delight
Excellent Stay The property is quite close to taj exotic and a beach is just 1 km away with nice n peaceful shaks .,Delight
Excellent Stay we feel good ????really we enjoy ????,Delight
Excellent Stay the stay was good nice service ??cool place to stay,Delight
"Good Stay It was one night family stay at fortune. Except the location, which isn’t beach front, all other services are good. Overall, good experience.",Satisfaction
Average Stay Services not so good my wife call many time for cleaning baby milk bottel no one answered the call,Disappointment
Average Stay Ok.,Satisfaction
"Excellent Stay Walking distance to the beach, beautiful location. The resort looks lovely in monsoon. The spa session was quite relaxing. Highly recommended.",Delight
"exell nice visit ?? next will visit soon ..
very nice hospitality good breakfast ??..
very good for family & friends",Delight
Excellent Stay A very delightful stay. Good property with very courteous staff members. Good spread for breakfast with awesome service by f & b team. Highly recommended for family stay,Delight
"Terrible Stay I already have told you in email, and call the hotel is the worst one can stay in. Its not a 5 star. Just doesn’t even look like a 2 star and make my trip is also the worst service provider just fools customers",Frustation
Good Stay Very good property and helpful staff. Made the stay a pleasant experience. Service was on time and they made some accomodations for me on request. Would visit next time!,Delight
Excellent Stay The stay was very comfortable and nice the breakfast was also amazing and the cleanliness was up to mark,Delight
Fantastic experiance. Pleasent stay ! good property. Fantastic memories we made in fortune resort & spa. Resort staff is very good and supportive.,Delight
A good option in south go Good property nice clean rooms polite friendly and co operative staff good quality food overall a nice experience,Satisfaction
"Wonderful place to stay We enjoyed spending time with family and friends, it was a lovely place to spend time. Would like to visit again",Delight
Excellent Stay I had an excellent stay. Morning breakfast spread was excellent. Special mention for mr. Khan who ensured hot bread and omelet is served on our table. Location wise it close to some beautiful beaches.,Delight
Excellent Stay Fortune resort at benaulim is an excellent property. I enjoyed my stay with my family. 5 star for this property is not only due to infrastructure but also due to their staff. They are very supportive and the hospitality is very good. Breakfast have varieties as expected. Fortune being an itc property know how to make happy customers.,Delight
Excellent Stay I found the location from Make My Trip. Food was Good ?? & the behaviour of all the staffs were very good. The Property was very good.,Delight
Excellent Stay It was really good,Delight
"Delay in check in We reached hotel at 3. 00 pm, but still room was not ready, we waited for 30 mins to check in and when entered room at 3. 45 pm, still room cleaning was going on by house keeping team, bed provided was two single beds with uneven surface",Disappointment
"Old property, slow service Service is too slow. Washroom had water leakages. The breakfast was okish. The hotel doesn’t cater to good hospitality - don’t allow early checkins, don’t entertain any ki d of requests. Not worth the money",Frustation
Average It was so so have marriage booking at that time it was good for marriage booking only,Satisfaction
Average experience Was delayed to get the room. After lot of follow up got the rooms. Also post leaving got multiple calls for pending bills for breakfast which was probably from the previous room occupant. Food is average and not very well managed.,Frustation
"Dream goa trip It was superb, all staff are very caring n humble and very supportive. Me and my family enjoyed it a lot and we will visit again.",Delight
"Khan, yogesh, piyush These guys were amazing. Made our day and stay extremely good. We can certainly consider this place again",Delight
Poor Stay Hotel is not under 5 star category. It was not good experience. It's like 3 star category property. Also breakfast was not very good.,Disappointment
"Excellent Stay It’s best valve for money resort
services are good
food is excellent venu is awesome rooms pretty large and clean
swimming tank and rest amaneties awesome best place to visit with family",Delight
In room dinign Very late service. We ordered something and received something else. Then we had to call them and again wait for the right order. It was kind of frustrating,Frustation
Excellent Stay excellent resort to stay v peaceful and the beach near the resort is v beautiful the food of the resort is number one the best special mention to mr khan he was v humble polite and very helpful in everything really enjoyed my stay kudos to fortune resort benaulim,Delight
"Excellent property and service Beautiful property, clean rooms, super helpful staff (nether, jason and tarun. The food was delicious! loved everything about it.",Delight
"Pleasant stay Stayed here 2 night in early june2022, bed with breakfast. Breakfast had ample options, about a km away from beach, next to taj exotica. The beach is very quiet around this place. Beds are too soft.",Delight
"Good Good stay, good food, good location",Satisfaction
"Goa 2022 The stay, the location, food, hospitality everything was well managed",Satisfaction
Wonderful peaceful stay It is wonderfully located.,Delight
"Fortune was a disaster Social distancing was being followed since the there weren’t no guests and staff:) room service was terrible. No tea bags, no sugar free, no bathroom slippers, no dental kits, no bathing accessories. everything was being called for and the team was not even responding on the intercom",Frustation
Good hotel It’s located in south goa. Close to the beach. Great food,Delight
Benaulim Great stay for couples and family in south goa,Delight
"Worth of all Price, food, location, safety everything is up to the mark",Delight
Excellent stay Very good staff and very cooperative and good ambience.,Delight
Okay Nothing fancy but a decent stay,Satisfaction
Experience Very bad experience in my life staf performance is very bad,Frustation
It was great The place has vast empty space to roam around and it is perfect. Serene,Delight
It's away from beach 1km away from beach. Spa was not functional.,neutral
"Great Great location, good and friendly staff. Very close to the southern deck",Delight
Location cool Its location is bit far from beach. But walkable distance<br />Awesome beach resort. Great ambience for couple,Delight
Family stay for a friend Writing this description on someone’s behalf. It’s a nice property to stay for a family,Satisfaction
"Excellent hospitality I lost my phone and had to leave for north goa in a hurry, i had requested the staff to look into my room for the missing phone. After all hope was lost, i get a call from the manager personally ensuring about the findings of my phone. They actually kept the phone for almost a week more and really didn't bother me at all. I picked up the phone from the hotel at my own convenience and was really really happy. Overall the place didn't disappoint as well, i enjoyed my stay",Satisfaction
Food Good food and highly recommended,Satisfaction
Clean The hotel was clean and no littering,Satisfaction
"Safety measures with mask The staff does have mask but it’s not covering nose, i understand it’s uncomfortable but at least when you are coming near guests for interaction, it should be covered.",Disappointment
Average place Initially by name i thought its nearby beach but it's not. If you are here for business then good for single night stay,Satisfaction
Amazing stay It was really wonderful time in here. Love to come again.,Delight
"Wonderful From welcoming to staying, hospitality, everything was great. Loved every bit of our stay.",Delight
"Three days stay at Joecons We as a family checked in for 3 days, had booked a deluxe room, room space good but to accommodate third person they have to put additional mattresses, no much comfortable. At breakfast and dinner Mr. A M Khan (FandB) manger stood with us for complete 3 days and personally took care of our breakfast and dinner. A wonderful person, always smiling and ready to help others. Our stay was much more comfortable by his presence.",Satisfaction
Mesmerizing stay It was a great place to stay with awesome breakfast and helpful staff,Delight
Shack is awesome With their own shuttle Joecons shack us just fantastic,Delight
Worse stay Location was far from market and beach. Food was average. Service was not good charged extra for bed which was not expected from MMT.,Frustation
Overall good experience Everything was good. Reception and food could have been better for 4-star rating.,neutral
Location Location is far from the Beach,Disappointment
"Good off stay If you are looking for a Resort away from the Beach (though they have shuttle service from Beach to the Resort which is in odd timings), this is the Resort. You get Goan and continental food.",Satisfaction
Calm and serene My stay was superb. Everything from room to the services was great. I highly recommend this property to everyone looking for a quiet stay in South Goa,Delight
"We liked stay here Everything was awesome including food, service etc",Delight
Over all very good stay Enjoyed as ambience was good and very near to Beach Good was really good,Delight
"Service issues at peak No welcome drink, Wi-Fi not operational, No clarity on parking, denied access to driver for use of common washroom, maintenance going on place stinks. Overall on strong feedback, Mr. Shrivastava (GM) intervened an offered free breakfast for the driver accompanied as a gesture.",neutral
Good hotel Within budget however not very near to South Goa beaches except the one where the hotel is located,Satisfaction
"Joecons Excellent location, definitely I would stay here if there is a trip again to South Goa.",Delight
Great stay with family Excellent stay with the family. Nice swimming pool and garden.,Delight
Excellent Stay Comfortable stay and very caring staff. It was relaxing,Delight
"Break fast was good but not having variety I was expecting daily I will get variety on breakfast, but found same type of break fast everyday.",Satisfaction
"South Goa, trip Excellent place, nice presentation of food, good service",Delight
Pretty average Please avoid this hotel if you can. I regret having stayed here. Poor quality and service.,Frustation
"staff were polite, helpful, and ensured quick service.",Satisfaction
"good stay restaurant service, food service is good. staff is polite and excellent in customer service.",Delight
"clean rooms, decent facilities, and polite staff.",Satisfaction
the staff are very good.,Delight
"the staff was polite, helpful, and always ready to assist with a smile. housekeeping did a great job, and the overall ambience of the hotel was calm and welcoming.",Satisfaction
the staff is friendly and very supportive.,Satisfaction
"excellent stay the room are excellent, service and all staff are really cooperative and help in check in and checkout, also due to a issue they have immediate change the room and top priority, the room are good, pleasant stay.",Delight
getting in touch with staff was difficult.,Disappointment
the staff are very polite and so respectful.,Satisfaction
"good stay its good n friendly staff , rooms r good n clean !",Satisfaction
excellent stay very cooperative staff ????,Delight
staff is great.,Satisfaction
"good amenities, friendly staff 
4.",Satisfaction
staff is average and not trained,Satisfaction
"good stay the staff was very cooperative, customer friendly.",Satisfaction
staff is supportive however it takes at-least 15 - 20 minutes as well as a reminder to get an amenity.,Satisfaction
"good stay good ambiance, tasty food and so many options for breakfast, staff is proactive, prompt room service, rooms are clean and neat.",Satisfaction
rude staff the cook and waiter where having quarrel at breakfast and they refuse to serve me.,Frustation
"the good part is there restaurant, but service is pathetic.",Frustation
staff support and behaviour was good.,Satisfaction
however in lunch and dinner limited menu they are serving for the guests who booked rooms.,neutral
response of staff very poor,Disappointment
staff is very supportive and quick in response,Delight
"good service and behavior of every staff person, and housekeeping, but very poor rooms with damaged flooring, old washrooms, stains on bedsheets.",Satisfaction
pleasant stay pleasant rooms though slightly expensive for the room type.,Delight
spacious room.,Satisfaction
room service is prompt,Satisfaction
"safety aspect from entry point - temperature check, sanitiser and availability of sanitiser dispenser - lift to hotel lobby to dining area.",Satisfaction
Family stay Stayed for one night with family,Satisfaction
"Good Stay Good property. Professional hosts, clean and we'll appointed rooms though no tv and weak wifi. But good food.",Satisfaction
Regal antiquity Beautiful property. Hard to believe that an antique property is so well maintained. Located at arguably the best point in fort kochi,Satisfaction
"Average stay Only good part was to experience at this 17th century mansion, breakfast was comforting. But the amount we paying is not a worth, washroom looks utter unhygienic, didn't dare to use the towel, should have someone who can give house tour about the history, as this property is maintained by neemrana group, definitely they can do much better.",Disappointment
Excellent stay Property is located on vasco da gama square in fort kochi which is the most coveted location in old town. The decor and interior of this age old heritage bungalow were mesmerising. It took us back in time. Indeed my most memorable stay,Delight
The tower house is amazing The place we found was great and it really was a surprise as how we found this hidden gem. It was cute and cozy. It's got this rustic feel to it especially since it was build in the 17th century. Overall would recommend this to anyone,Delight
Poor Stay Ac wasn’t working. Owner still overcharged us for using the rooms. Power went out late night and caretaker was fast asleep didn’t even help we had to repair the fuse ourselves.,Frustation
Aesthetic and heavenly Such lovely architecture. Loved the stay to the very bit,Satisfaction
Good Stay Expected a better room but overall ok ; have stayed in another property of neemrana so had higher expectation,neutral
Good property but staff could have been better The staff could have been more careful in planning arrival especially when instructions were provided for the room type we were looking. They never bothered to check and it was difficult as we literally got the room late night.,Disappointment
stay was superb ?? all staffs were very caring ...calm and quiet atmosphere...,Delight
"Neemrana review Location, food, hygiene & safety standards all were excellent. Highly recommended.",Delight
Neemrana the tower house The location of the stay was right in the heart of fort kochi. All the eateries and places to see are just walking distance.,Satisfaction
"Average, overpriced The door lock was damaged, no tv, small tiny rest room continental breakfast contains 2 piece of bread only",Frustation
"Heritage stay! Amazing place to stay! felt really good to stay in a dutch suite that's over 700 years old! extremely comfortable, hygienic, beautiful and safe!",Delight
Excellent! We are completely convinced with the safety measures. Location and staff are really amazing!,Delight
"Cochin Neemrana stay Location is very central, touristy, and convenient. But it can be very noisy at times and bustling with activity, tourists,",neutral
"What a find! Definitely coming back. Beautiful old House, large rooms, and seriously delightful service!",Satisfaction
Good Good. Will recommend to others as well.,Satisfaction
"Fort Cochin visit by friend and his lovely wife We arrived late at night as our plane was well delayed, but found no problems in getting in. We got a nice room with big bathroom. All was fine. Breakfast was superb. And next day, despite we checked out already they allowed us to test while we were waiting for a taxi to next stay. I recommend this place.",Satisfaction
Excellent Stay There is no option for change The check in date,Delight
Excellent Really loved it I love The place. I will visit once soon.,Delight
"Overall good Overall good, nice location just on sea bank and staff is good, rooms are clean and good in size.",Satisfaction
"Excellent Safe clean, calm, easy to locate, near to Beach",Satisfaction
Overall good Overall good experience. But expected a better welcome,Satisfaction
Great staycation Lovely old heritage hotel with modern amenities in the middle of all Fort Kochi had to offer.,Delight
Very good location Just opposite The fishing net. Lot of history with this property,Satisfaction
Good Stay We loved The place! If your looking for a place to stay in Fort Kochi this is a must try!,Satisfaction
Excellent Great place to stay. Privacy maintained,Delight
Lovely stay It was a comfortable stay with very courteous staff.,Satisfaction
Old world charm Located in The heart of Fort Kochi which is d main tourist centre of Kochi. Stay in The hotel gives a colonial hangover due to its ambience. Service nice. Breakfast spread ok. Food is extremely expensive.,Satisfaction
"Best ambient hotel in Fort Kochi This was my second stay at Tower House. Like last time, we had a great stay. Could have made The breakfast better. But The room was awesome.",Satisfaction
Tower House revisit to history Stay was comfortable with heritage features and well laid breakfast,Satisfaction
"Good but can be better Good location. The facility in general is great. But the problem is that the bathroom is not entirely separated from main room so it is not convenient. The odour can come in and noise.
They don't have handwash or facewash which is also a let down. The complementary breakfast was above average.",Disappointment
Excellent Stay Very tastefully built facility and an extremely courteous staff.,Delight
Wonderful Wonderful overall. My review end here but I have to make minimum of 30 characters so I m making it.,Satisfaction
Excellent Have always loved staying at a Neemrana property and this was no different. Incredibly well located. Heart of Fort Kochi. Great service.,Delight
No wifi No wifi in room and no mobile network inside The rooms,Frustation
Good Stay Great location lovely pool. Very few options for breakfast,Satisfaction
Overwhelmed Enjoyed and they took very good care of us.,Satisfaction
"One of The best stays in Fort Kochi Location was very good, very nice property with simple interiors and great staff.",Delight
Excellent Stay Perfect getaway. Its lavish and homely,Delight
